junction_name,police_station,hour,weekday,month,violations,risk_score
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Sunday,April,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Sunday,December,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Sunday,February,15,4.964539007092199
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Sunday,January,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Sunday,March,23,7.80141843971631
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Sunday,November,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Thursday,April,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Thursday,December,8,2.4822695035460995
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Thursday,March,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Thursday,November,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Tuesday,November,16,5.319148936170213
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Wednesday,April,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Wednesday,December,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Wednesday,February,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Wednesday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Friday,February,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Friday,January,26,8.865248226950353
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Friday,March,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Monday,April,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Monday,December,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Monday,January,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Monday,March,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Monday,November,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Saturday,April,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Saturday,January,19,6.382978723404255
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Saturday,March,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Saturday,November,28,9.574468085106384
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Sunday,April,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Sunday,December,19,6.382978723404255
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Sunday,February,12,3.900709219858156
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Sunday,January,16,5.319148936170213
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Sunday,March,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Thursday,April,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Thursday,January,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Thursday,November,21,7.092198581560282
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Tuesday,January,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Tuesday,March,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Wednesday,December,11,3.546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Wednesday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Wednesday,March,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,3,Wednesday,November,11,3.546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Friday,December,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Friday,January,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Friday,March,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Friday,November,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Monday,February,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Monday,January,16,5.319148936170213
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Monday,March,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Monday,November,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Saturday,April,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Saturday,December,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Saturday,January,14,4.609929078014185
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Saturday,March,13,4.25531914893617
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Saturday,November,10,3.1914893617021276
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Sunday,December,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Sunday,February,50,17.375886524822697
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Sunday,January,11,3.546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Sunday,March,19,6.382978723404255
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Sunday,November,8,2.4822695035460995
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Thursday,April,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Thursday,February,13,4.25531914893617
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Thursday,January,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Thursday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Thursday,November,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Tuesday,April,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Tuesday,February,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Tuesday,January,24,8.156028368794326
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Wednesday,April,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Wednesday,December,8,2.4822695035460995
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Wednesday,February,28,9.574468085106384
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Wednesday,January,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Wednesday,March,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,4,Wednesday,November,41,14.184397163120565
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Friday,December,12,3.900709219858156
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Friday,February,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Friday,January,13,4.25531914893617
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Friday,March,13,4.25531914893617
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Friday,November,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Monday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Monday,March,22,7.446808510638298
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Saturday,April,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Saturday,December,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Saturday,February,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Saturday,January,11,3.546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Saturday,March,32,10.99290780141844
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Saturday,November,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Sunday,December,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Sunday,February,19,6.382978723404255
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Sunday,January,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Sunday,March,10,3.1914893617021276
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Thursday,December,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Thursday,February,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Thursday,January,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Thursday,November,19,6.382978723404255
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Tuesday,December,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Tuesday,February,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Tuesday,January,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Tuesday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Wednesday,December,8,2.4822695035460995
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Wednesday,February,12,3.900709219858156
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Wednesday,January,10,3.1914893617021276
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,5,Wednesday,November,32,10.99290780141844
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Friday,February,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Friday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Friday,November,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Monday,December,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Monday,February,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Monday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Monday,March,24,8.156028368794326
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Saturday,December,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Saturday,February,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Saturday,January,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Saturday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Saturday,November,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Sunday,April,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Sunday,December,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Sunday,February,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Sunday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Sunday,March,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Sunday,November,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Thursday,December,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Thursday,February,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Thursday,January,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Thursday,November,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Tuesday,February,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Tuesday,January,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Wednesday,December,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Wednesday,January,18,6.028368794326241
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,6,Wednesday,March,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Friday,December,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Friday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Friday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Monday,April,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Monday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Monday,March,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Monday,November,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Saturday,April,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Saturday,February,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Saturday,January,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Sunday,December,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Sunday,February,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Sunday,January,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Thursday,November,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Tuesday,February,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Wednesday,December,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Wednesday,February,10,3.1914893617021276
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Wednesday,January,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Wednesday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,7,Wednesday,November,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Friday,December,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Friday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Friday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Friday,March,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Friday,November,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Monday,March,14,4.609929078014185
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Monday,November,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Saturday,April,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Saturday,December,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Saturday,February,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Saturday,March,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Sunday,April,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Sunday,December,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Sunday,February,13,4.25531914893617
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Sunday,January,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Sunday,March,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Thursday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Thursday,January,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Thursday,November,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Tuesday,December,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Tuesday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Tuesday,January,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Wednesday,December,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Wednesday,February,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Wednesday,January,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Wednesday,March,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,8,Wednesday,November,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Friday,March,12,3.900709219858156
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Monday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Monday,November,8,2.4822695035460995
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Saturday,April,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Sunday,December,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Sunday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Thursday,January,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Thursday,March,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Thursday,November,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Tuesday,February,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Wednesday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,9,Wednesday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,10,Friday,November,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,10,Monday,April,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,10,Monday,January,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,10,Sunday,March,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,11,Monday,April,3,0.7092198581560284
